,0,1,2,3
0,1/1/2009,N/D,N/D,N/D
1,1/2/2009,999,144,328
2,1/3/2009,288,166,727
3,1/4/2009,257,610,311
4,1/5/2009,124,789,850
5,1/6/2009,309,499,934
6,1/7/2009,187,252,914
7,1/8/2009,945,538,373
8,1/9/2009,357,552,793
9,1/10/2009,408,396,329
10,1/11/2009,625,220,363
11,1/12/2009,503,859,481
12,1/13/2009,826,520,326
13,1/14/2009,880,508,851
14,1/15/2009,370,913,014
15,1/16/2009,172,560,625
16,1/17/2009,333,679,263
17,1/18/2009,004,742,075
18,1/19/2009,412,398,277
19,1/20/2009,930,981,417
20,1/21/2009,440,018,839
21,1/22/2009,162,395,944
22,1/23/2009,981,937,273
23,1/24/2009,355,916,088
24,1/25/2009,243,450,661
25,1/26/2009,136,554,397
26,1/27/2009,489,417,727
27,1/28/2009,317,400,657
28,1/29/2009,793,369,732
29,1/30/2009,321,107,684
30,1/31/2009,604,511,639
31,FEBRUARY,2PM,5PM,9PM
32,2/1/2009,351,775,846
33,2/2/2009,431,255,499
34,2/3/2009,714,227,204
35,2/4/2009,950,830,758
36,2/5/2009,917,247,196
37,2/6/2009,255,930,570
38,2/7/2009,645,383,941
39,2/8/2009,264,562,478
40,2/9/2009,281,972,010
41,2/10/2009,800,007,800
42,2/11/2009,244,834,765
43,2/12/2009,908,848,061
44,2/13/2009,630,399,124
45,2/14/2009,819,594,769
46,2/15/2009,647,131,764
47,2/16/2009,942,121,759
48,2/17/2009,103,970,376
49,2/18/2009,954,706,906
50,2/19/2009,056,093,958
51,2/20/2009,523,962,739
52,2/21/2009,678,853,564
53,2/22/2009,808,136,348
54,2/23/2009,166,835,939
55,2/24/2009,717,759,713
56,2/25/2009,543,919,240
57,2/26/2009,284,431,912
58,2/27/2009,623,810,108
59,2/28/2009,642,686,421
60,MARCH,2PM,5PM,9PM
61,3/1/2009,324,313,141
62,3/2/2009,378,315,901
63,3/3/2009,306,724,658
64,3/4/2009,985,280,600
65,3/5/2009,880,381,784
66,3/6/2009,929,444,469
67,3/7/2009,429,785,644
68,3/8/2009,377,280,687
69,3/9/2009,114,404,710
70,3/10/2009,740,645,006
71,3/11/2009,507,675,263
72,3/12/2009,328,091,384
73,3/13/2009,208,718,781
74,3/14/2009,448,973,722
75,3/15/2009,751,568,540
76,3/16/2009,955,404,688
77,3/17/2009,524,554,790
78,3/18/2009,915,197,565
79,3/19/2009,823,640,390
80,3/20/2009,423,718,889
81,3/21/2009,187,434,782
82,3/22/2009,840,096,109
83,3/23/2009,388,002,181
84,3/24/2009,868,524,104
85,3/25/2009,642,489,825
86,3/26/2009,733,080,511
87,3/27/2009,976,387,309
88,3/28/2009,392,875,053
89,3/29/2009,471,282,892
90,3/30/2009,000,293,445
91,3/31/2009,689,090,520
92,APRIL,2PM,5PM,9PM
93,4/1/2009,611,051,018
94,4/2/2009,148,882,388
95,4/3/2009,766,510,597
96,4/4/2009,916,953,381
97,4/5/2009,068,744,331
98,4/6/2009,162,212,053
99,4/7/2009,401,810,995
100,4/8/2009,657,225,307
101,4/9/2009,N/D,N/D,N/D
102,4/10/2009,N/D,N/D,N/D
103,4/11/2009,N/D,N/D,N/D
104,4/12/2009,N/D,N/D,N/D
105,4/13/2009,092,526,578
106,4/14/2009,549,033,757
107,4/15/2009,731,546,387
108,4/16/2009,948,686,876
109,4/17/2009,074,163,651
110,4/18/2009,427,848,712
111,4/19/2009,705,439,208
112,4/20/2009,638,405,506
113,4/21/2009,087,267,720
114,4/22/2009,442,285,610
115,4/23/2009,162,879,923
116,4/24/2009,897,073,064
117,4/25/2009,098,157,533
118,4/26/2009,686,449,755
119,4/27/2009,477,381,601
120,4/28/2009,772,389,927
121,4/29/2009,967,562,876
122,4/30/2009,245,693,881
123,MAY,2PM,5PM,9PM
124,5/1/2009,961,077,121
125,5/2/2009,493,262,929
126,5/3/2009,028,627,000
127,5/4/2009,807,799,349
128,5/5/2009,850,673,655
129,5/6/2009,099,509,394
130,5/7/2009,459,595,452
131,5/8/2009,255,306,857
132,5/9/2009,107,137,394
133,5/10/2009,942,460,850
134,5/11/2009,696,484,289
135,5/12/2009,396,691,563
136,5/13/2009,582,931,845
137,5/14/2009,831,055,887
138,5/15/2009,494,048,301
139,5/16/2009,442,265,128
140,5/17/2009,523,926,923
141,5/18/2009,525,250,920
142,5/19/2009,375,478,537
143,5/20/2009,516,384,726
144,5/21/2009,762,272,757
145,5/22/2009,420,049,279
146,5/23/2009,922,323,064
147,5/24/2009,961,851,289
148,5/25/2009,394,954,038
149,5/26/2009,981,443,583
150,5/27/2009,246,635,561
151,5/28/2009,570,653,777
152,5/29/2009,369,110,419
153,5/30/2009,578,550,718
154,5/31/2009,736,080,836
155,JUNE,2PM,5PM,9PM
156,6/1/2009,796,042,588
157,6/2/2009,038,462,811
158,6/3/2009,412,188,247
159,6/4/2009,016,717,684
160,6/5/2009,958,410,165
161,6/6/2009,747,597,098
162,6/7/2009,526,910,265
163,6/8/2009,574,041,157
164,6/9/2009,070,193,317
165,6/10/2009,786,798,868
166,6/11/2009,542,288,444
167,6/12/2009,781,942,084
168,6/13/2009,602,011,924
169,6/14/2009,128,752,369
170,6/15/2009,304,035,080
171,6/16/2009,037,863,562
172,6/17/2009,129,631,812
173,6/18/2009,604,793,872
174,6/19/2009,124,116,359
175,6/20/2009,347,203,014
176,6/21/2009,268,532,136
177,6/22/2009,394,735,252
178,6/23/2009,729,007,816
179,6/24/2009,921,475,349
180,6/25/2009,711,018,438
181,6/26/2009,438,375,943
182,6/27/2009,253,519,305
183,6/28/2009,594,294,701
184,6/29/2009,823,367,037
185,6/30/2009,403,553,449
186,JULY,2PM,5PM,9PM
187,7/1/2009,714,600,811
188,7/2/2009,456,323,279
189,7/3/2009,199,665,747
190,7/4/2009,743,752,913
191,7/5/2009,628,835,401
192,7/6/2009,679,109,400
193,7/7/2009,869,927,800
194,7/8/2009,763,757,901
195,7/9/2009,453,658,045
196,7/10/2009,174,714,938
197,7/11/2009,730,662,972
198,7/12/2009,610,599,331
199,7/13/2009,565,518,380
200,7/14/2009,415,166,232
201,715/2009,639,184,767
202,7/16/2009,595,554,782
203,7/17/2009,957,089,672
204,7/18/2009,110,633,728
205,7/19/2009,222,201,654
206,7/20/2009,341,394,562
207,7/21/2009,565,377,720
208,7/22/2009,219,196,906
209,7/23/2009,857,357,020
210,7/24/2009,717,423,205
211,7/25/2009,224,699,042
212,7/26/2009,496,236,591
213,7/27/2009,918,633,337
214,7/28/2009,208,924,523
215,7/29/2009,098,904,332
216,7/30/2009,906,611,837
217,7/31/2009,028,538,944
218,AUGUST,2PM,5PM,9PM
219,8/1/2009,695,535,262
220,8/2/2009,786,146,363
221,8/3/2009,397,738,098
222,8/4/2009,150,348,607
223,8/5/2009,336,357,243
224,8/6/2009,533,449,328
225,8/7/2009,881,919,664
226,8/8/2009,781,613,847
227,8/9/2009,480,339,217
228,8/10/2009,884,103,889
229,8/11/2009,683,023,510
230,8/12/2009,249,947,277
231,8/13/2009,054,570,131
232,8/14/2009,751,081,359
233,8/15/2009,891,278,563
234,8/16/2009,911,597,368
235,8/17/2009,115,546,929
236,8/18/2009,865,583,148
237,8/19/2009,304,400,812
238,8/20/2009,717,190,903
239,8/21/2009,710,539,433
240,8/22/2009,243,431,232
241,8/23/2009,922,133,657
242,8/24/2009,560,436,880
243,8/25/2009,938,610,093
244,8/26/2009,450,188,421
245,8/27/2009,708,084,726
246,8/28/2009,129,111,728
247,8/29/2009,582,303,806
248,8/30/2009,158,065,836
249,8/31/2009,239,423,593
250,SEPTEMBER,2PM,5PM,9PM
251,9/1/2009,447,003,082
252,9/2/2009,561,227,051
253,9/3/2009,059,013,757
254,9/4/2009,242,989,784
255,9/5/2009,175,731,649
256,9/6/2009,926,878,352
257,9/7/2009,264,411,838
258,9/8/2009,246,597,705
259,9/9/2009,640,049,932
260,9/10/2009,244,860,924
261,9/11/2009,758,138,980
262,9/12/2009,009,999,703
263,9/13/2009,439,866,328
264,9/14/2009,186,287,112
265,9/15/2009,933,252,807
266,9/16/2009,030,941,036
267,9/17/2009,051,757,032
268,9/18/2009,473,992,312
269,9/19/2009,331,149,724
270,9/20/2009,897,559,912
271,9/21/2009,544,807,335
272,9/22/2009,393,213,731
273,9/23/2009,671,215,453
274,9/24/2009,329,832,669
275,9/25/2009,781,927,294
276,9/26/2009,671,442,956
277,9/27/2009,012,266,850
278,9/28/2009,452,798,586
279,9/29/2009,680,060,763
280,9/30/2009,085,833,178
281,OCTOBER,2PM,5PM,9PM
282,10/1/2009,107,138,188
283,10/2/2009,600,713,675
284,10/3/2009,457,382,495
285,10/4/2009,631,858,747
286,10/5/2009,409,105,168
287,10/6/2009,562,317,459
288,10/7/2009,586,453,498
289,10/8/2009,569,393,428
290,10/9/2009,859,000,305
291,10/10/2009,729,617,054
292,10/11/2009,617,995,881
293,10/12/2009,238,531,680
294,10/13/2009,615,982,205
295,10/14/2009,163,564,969
296,10/15/2009,825,901,865
297,10/16/2009,944,884,758
298,10/17/2009,956,538,199
299,10/18/2009,064,188,313
300,10/19/2009,703,180,553
301,10/20/2009,185,466,288
302,10/21/2009,392,353,814
303,10/22/2009,450,270,260
304,10/23/2009,624,517,536
305,10/24/2009,943,827,199
306,10/25/2009,722,435,546
307,10/26/2009,233,397,227
308,10/27/2009,012,849,219
309,10/28/2009,702,195,420
310,10/29/2009,205,759,212
311,10/30/2009,692,661,640
312,10/31/2009,203,071,406
313,NOVEMBER,2PM,5PM,9PM
314,11/1/2009,821,173,412
315,11/2/2009,479,043,084
316,11/3/2009,939,933,005
317,11/4/2009,763,662,883
318,11/5/2009,098,637,713
319,11/6/2009,567,422,143
320,11/7/2009,671,370,788
321,11/8/2009,047,315,573
322,11/9/2009,714,403,201
323,11/10/2009,275,043,486
324,11/11/2009,451,570,031
325,11/12/2009,818,161,100
326,11/13/2009,610,611,972
327,11/14/2009,990,682,301
328,11/15/2009,298,245,238
329,11/16/2009,766,101,579
330,11/17/2009,885,989,842
331,10/18/2009,097,911,875
332,11/19/2009,208,946,985
333,11/20/2009,594,860,978
334,11/21/2009,861,390,400
335,11/22/2009,376,085,481
336,11/23/2009,607,050,747
337,11/24/2009,596,166,713
338,11/25/2009,372,575,044
339,11/26/2009,502,290,388
340,11/27/2009,741,656,987
341,11/28/2009,006,314,393
342,11/29/2009,557,576,367
343,11/30/2009,605,116,261
344,DECEMBER,2PM,5PM,9PM
345,12/1/2009,168,950,961
346,12/2/2009,391,832,778
347,12/3/2009,068,417,237
348,12/4/2009,072,193,229
349,12/5/2009,612,831,982
350,12/6/2009,161,120,028
351,12/7/2009,517,582,409
352,12/8/2009,302,082,320
353,12/9/2009,073,084,226
354,12/10/2009,995,938,116
355,12/11/2009,049,786,260
356,12/12/2009,091,922,256
357,12/13/2009,701,099,933
358,12/14/2009,856,681,853
359,12/15/2009,975,297,066
360,12/16/2009,701,267,588
361,12/17/2009,218,321,192
362,12/18/2009,853,701,116
363,12/19/2009,657,035,718
364,12/20/2009,605,935,577
365,12/21/2009,328,059,713
366,12/22/2009,237,883,018
367,12/23/2009,010,252,341
368,12/24/2009,933,203,780
369,12/25/2009,N/D,N/D,N/D
370,12/26/2009,209,560,941
371,12/27/2009,764,241,695
